date,product_code,customer_code,sold_quantity
2017-09-01,A0118150101,70002017,51
2017-09-01,A0118150101,70002018,77
2017-09-01,A0118150101,70003181,17
2017-09-01,A0118150101,70003182,6
2017-09-01,A0118150101,70006157,5
2017-09-01,A0118150101,70006158,7
2017-09-01,A0118150101,70007198,29
2017-09-01,A0118150101,70007199,34
2017-09-01,A0118150101,70008169,22
2017-09-01,A0118150101,70008170,5
2017-09-01,A0118150101,70011193,10
2017-09-01,A0118150101,70011194,4
2017-09-01,A0118150101,70012042,0
2017-09-01,A0118150101,70012043,0
2017-09-01,A0118150101,70013125,1
2017-09-01,A0118150101,70013126,1
2017-09-01,A0118150101,70016178,1
2017-09-01,A0118150101,70022085,20
2017-09-01,A0118150101,70023031,4
2017-09-01,A0118150101,80001019,10
2017-09-01,A0118150101,80006154,10
2017-09-01,A0118150101,80006155,28
2017-09-01,A0118150101,80007195,80
2017-09-01,A0118150101,90001021,1
2017-09-01,A0118150101,90002001,42
2017-09-01,A0118150101,90002002,40
2017-09-01,A0118150101,90002003,54
2017-09-01,A0118150101,90002005,77
2017-09-01,A0118150101,90002006,30
2017-09-01,A0118150101,90002007,67
2017-09-01,A0118150101,90002009,47
2017-09-01,A0118150101,90002010,58
2017-09-01,A0118150101,90002011,21
2017-09-01,A0118150101,90002013,17
2017-09-01,A0118150101,90002014,16
2017-09-01,A0118150101,90002015,32
2017-09-01,A0118150101,90003179,15
2017-09-01,A0118150101,90006153,9
2017-09-01,A0118150101,90007197,48
2017-09-01,A0118150101,90008165,9
2017-09-01,A0118150101,90008166,12
2017-09-01,A0118150101,90008167,10
2017-09-01,A0118150101,90011185,3
2017-09-01,A0118150101,90011186,2
2017-09-01,A0118150101,90011187,2
2017-09-01,A0118150101,90011189,5
2017-09-01,A0118150101,90011190,10
2017-09-01,A0118150101,90011191,14
2017-09-01,A0118150101,90012033,0
2017-09-01,A0118150101,90012034,0
2017-09-01,A0118150101,90012035,0
2017-09-01,A0118150101,90012037,0
2017-09-01,A0118150101,90012038,0
2017-09-01,A0118150101,90012039,0
2017-09-01,A0118150101,90012041,0
2017-09-01,A0118150101,90013117,1
2017-09-01,A0118150101,90013118,2
2017-09-01,A0118150101,90013119,2
2017-09-01,A0118150101,90013121,3
2017-09-01,A0118150101,90013122,3
2017-09-01,A0118150101,90013123,3
2017-09-01,A0118150101,90016173,1
2017-09-01,A0118150101,90016175,1
2017-09-01,A0118150101,90022071,21
2017-09-01,A0118150101,90022073,18
2017-09-01,A0118150101,90022074,39
2017-09-01,A0118150101,90022075,19
2017-09-01,A0118150101,90022077,10
2017-09-01,A0118150101,90022078,20
2017-09-01,A0118150101,90022079,29
2017-09-01,A0118150101,90022081,37
2017-09-01,A0118150101,90022082,6
2017-09-01,A0118150101,90022083,10
2017-09-01,A0118150101,90023022,5
2017-09-01,A0118150101,90023023,1
2017-09-01,A0118150101,90023025,1
2017-09-01,A0118150101,90023026,2
2017-09-01,A0118150101,90023027,1
2017-09-01,A0118150101,90023029,2
2017-09-01,A0118150101,90023030,4
2017-09-01,A0118150101,90027207,4
2017-10-01,A0118150101,70002017,54
2017-10-01,A0118150101,70002018,53
2017-10-01,A0118150101,70003181,22
2017-10-01,A0118150101,70003182,10
2017-10-01,A0118150101,70006157,4
2017-10-01,A0118150101,70006158,9
2017-10-01,A0118150101,70007198,12
2017-10-01,A0118150101,70008169,4
2017-10-01,A0118150101,70008170,22
2017-10-01,A0118150101,70011193,13
2017-10-01,A0118150101,70011194,8
2017-10-01,A0118150101,70013125,1
2017-10-01,A0118150101,70013126,4
2017-10-01,A0118150101,70016177,2
2017-10-01,A0118150101,70016178,2
2017-10-01,A0118150101,70022084,26
2017-10-01,A0118150101,70022085,28
2017-10-01,A0118150101,70023032,3
2017-10-01,A0118150101,70027208,5
2017-10-01,A0118150101,80006154,41
2017-10-01,A0118150101,80007196,52
2017-10-01,A0118150101,90001020,2
2017-10-01,A0118150101,90001021,5
2017-10-01,A0118150101,90002001,88
2017-10-01,A0118150101,90002002,71
2017-10-01,A0118150101,90002004,36
2017-10-01,A0118150101,90002005,55
2017-10-01,A0118150101,90002006,74
2017-10-01,A0118150101,90002008,32
2017-10-01,A0118150101,90002009,64
2017-10-01,A0118150101,90002010,40
2017-10-01,A0118150101,90002012,100
2017-10-01,A0118150101,90002013,22
2017-10-01,A0118150101,90002014,58
2017-10-01,A0118150101,90002016,45
2017-10-01,A0118150101,90003180,4
2017-10-01,A0118150101,90006153,12
2017-10-01,A0118150101,90006156,11
2017-10-01,A0118150101,90007197,53
2017-10-01,A0118150101,90008164,18
2017-10-01,A0118150101,90008165,13
2017-10-01,A0118150101,90008166,22
2017-10-01,A0118150101,90008168,19
2017-10-01,A0118150101,90011185,4
2017-10-01,A0118150101,90011186,16
2017-10-01,A0118150101,90011188,11
2017-10-01,A0118150101,90011189,18
2017-10-01,A0118150101,90011190,10
2017-10-01,A0118150101,90011192,5
2017-10-01,A0118150101,90013116,1
2017-10-01,A0118150101,90013117,1
2017-10-01,A0118150101,90013118,2
2017-10-01,A0118150101,90013120,4
2017-10-01,A0118150101,90013121,1
2017-10-01,A0118150101,90013122,4
2017-10-01,A0118150101,90013124,3
2017-10-01,A0118150101,90016172,2
2017-10-01,A0118150101,90016173,1
2017-10-01,A0118150101,90016174,1
2017-10-01,A0118150101,90016176,1
2017-10-01,A0118150101,90022072,39
2017-10-01,A0118150101,90022073,31
2017-10-01,A0118150101,90022074,45
2017-10-01,A0118150101,90022076,34
2017-10-01,A0118150101,90022077,29
2017-10-01,A0118150101,90022078,31
2017-10-01,A0118150101,90022080,14
2017-10-01,A0118150101,90022081,33
2017-10-01,A0118150101,90022082,42
2017-10-01,A0118150101,90023022,7
2017-10-01,A0118150101,90023024,3
2017-10-01,A0118150101,90023025,6
2017-10-01,A0118150101,90023026,1
2017-10-01,A0118150101,90023028,6
2017-10-01,A0118150101,90023029,4
2017-10-01,A0118150101,90023030,2
2017-11-01,A0118150101,70002017,30
2017-11-01,A0118150101,70003181,21
2017-11-01,A0118150101,70006157,13
2017-11-01,A0118150101,70007199,68
2017-11-01,A0118150101,70008169,31
2017-11-01,A0118150101,70011193,5
2017-11-01,A0118150101,70013125,4
2017-11-01,A0118150101,70016177,2
2017-11-01,A0118150101,70022084,50
2017-11-01,A0118150101,70022085,37
2017-11-01,A0118150101,70023031,7
2017-11-01,A0118150101,70023032,5
2017-11-01,A0118150101,70027208,5
2017-11-01,A0118150101,80001019,5
2017-11-01,A0118150101,80006155,9
2017-11-01,A0118150101,80007195,274
2017-11-01,A0118150101,80007196,192
2017-11-01,A0118150101,90001020,5
2017-11-01,A0118150101,90001021,5
2017-11-01,A0118150101,90002001,104
2017-11-01,A0118150101,90002003,93
2017-11-01,A0118150101,90002004,120
2017-11-01,A0118150101,90002005,97
2017-11-01,A0118150101,90002007,100
2017-11-01,A0118150101,90002008,105
2017-11-01,A0118150101,90002009,136
2017-11-01,A0118150101,90002011,18
2017-11-01,A0118150101,90002012,51
2017-11-01,A0118150101,90002013,109
2017-11-01,A0118150101,90002015,116
2017-11-01,A0118150101,90002016,19
2017-11-01,A0118150101,90003179,17
2017-11-01,A0118150101,90003180,17
2017-11-01,A0118150101,90006153,11
2017-11-01,A0118150101,90006156,17
2017-11-01,A0118150101,90007197,22
2017-11-01,A0118150101,90008164,10
2017-11-01,A0118150101,90008165,7
2017-11-01,A0118150101,90008167,13
2017-11-01,A0118150101,90008168,18
2017-11-01,A0118150101,90011185,21
2017-11-01,A0118150101,90011187,22
2017-11-01,A0118150101,90011188,9
2017-11-01,A0118150101,90011189,22
2017-11-01,A0118150101,90011191,4
2017-11-01,A0118150101,90011192,14
2017-11-01,A0118150101,90013116,2
2017-11-01,A0118150101,90013117,5
2017-11-01,A0118150101,90013119,1
2017-11-01,A0118150101,90013120,5
2017-11-01,A0118150101,90013121,2
2017-11-01,A0118150101,90013123,5
2017-11-01,A0118150101,90013124,6
2017-11-01,A0118150101,90016171,1
2017-11-01,A0118150101,90016173,1
2017-11-01,A0118150101,90016175,1
2017-11-01,A0118150101,90016176,1
2017-11-01,A0118150101,90022071,43
2017-11-01,A0118150101,90022072,16
2017-11-01,A0118150101,90022073,37
2017-11-01,A0118150101,90022075,7
2017-11-01,A0118150101,90022076,18
2017-11-01,A0118150101,90022077,26
2017-11-01,A0118150101,90022079,21
2017-11-01,A0118150101,90022080,55
2017-11-01,A0118150101,90022081,48
2017-11-01,A0118150101,90022083,30
2017-11-01,A0118150101,90023023,3
2017-11-01,A0118150101,90023024,5
2017-11-01,A0118150101,90023025,7
2017-11-01,A0118150101,90023027,6
2017-11-01,A0118150101,90023028,4
2017-11-01,A0118150101,90023029,3
2017-11-01,A0118150101,90027207,16
2017-12-01,A0118150101,70002018,129
2017-12-01,A0118150101,70003182,11
2017-12-01,A0118150101,70006158,6
2017-12-01,A0118150101,70007198,53
2017-12-01,A0118150101,70007199,47
2017-12-01,A0118150101,70008170,25
2017-12-01,A0118150101,70011194,7
2017-12-01,A0118150101,70013126,4
2017-12-01,A0118150101,70016178,3
2017-12-01,A0118150101,70022084,24
2017-12-01,A0118150101,70023031,8
2017-12-01,A0118150101,70023032,9
2017-12-01,A0118150101,70027208,3
2017-12-01,A0118150101,80001019,25
2017-12-01,A0118150101,80006154,45
2017-12-01,A0118150101,80006155,32
2017-12-01,A0118150101,80007195,70
2017-12-01,A0118150101,80007196,344
2017-12-01,A0118150101,90001020,2
2017-12-01,A0118150101,90002002,131
2017-12-01,A0118150101,90002003,28
2017-12-01,A0118150101,90002004,17
2017-12-01,A0118150101,90002006,42
2017-12-01,A0118150101,90002007,49
2017-12-01,A0118150101,90002008,58
2017-12-01,A0118150101,90002010,94
2017-12-01,A0118150101,90002011,43
2017-12-01,A0118150101,90002012,50
2017-12-01,A0118150101,90002014,128
2017-12-01,A0118150101,90002015,81
2017-12-01,A0118150101,90002016,70
2017-12-01,A0118150101,90003179,30
2017-12-01,A0118150101,90003180,42
2017-12-01,A0118150101,90006156,15
2017-12-01,A0118150101,90008164,10
2017-12-01,A0118150101,90008166,36
2017-12-01,A0118150101,90008167,40
2017-12-01,A0118150101,90008168,27
2017-12-01,A0118150101,90011186,5
2017-12-01,A0118150101,90011187,22
2017-12-01,A0118150101,90011188,8
2017-12-01,A0118150101,90011190,6
2017-12-01,A0118150101,90011191,10
2017-12-01,A0118150101,90011192,24
2017-12-01,A0118150101,90013116,3
2017-12-01,A0118150101,90013118,6
2017-12-01,A0118150101,90013119,5
2017-12-01,A0118150101,90013120,4
2017-12-01,A0118150101,90013122,1
2017-12-01,A0118150101,90013123,4
2017-12-01,A0118150101,90013124,1
2017-12-01,A0118150101,90016171,1
2017-12-01,A0118150101,90016172,2
2017-12-01,A0118150101,90016174,1
2017-12-01,A0118150101,90016175,2
2017-12-01,A0118150101,90016176,1
2017-12-01,A0118150101,90022071,65
2017-12-01,A0118150101,90022072,33
2017-12-01,A0118150101,90022074,62
2017-12-01,A0118150101,90022075,54
2017-12-01,A0118150101,90022076,59
2017-12-01,A0118150101,90022078,12
2017-12-01,A0118150101,90022079,19
2017-12-01,A0118150101,90022080,16
2017-12-01,A0118150101,90022082,15
2017-12-01,A0118150101,90022083,21
2017-12-01,A0118150101,90023022,6
2017-12-01,A0118150101,90023023,5
2017-12-01,A0118150101,90023024,3
2017-12-01,A0118150101,90023026,7
2017-12-01,A0118150101,90023027,6
2017-12-01,A0118150101,90023028,8
2017-12-01,A0118150101,90023030,3
2017-12-01,A0118150101,90027207,4
2018-01-01,A0118150101,70002017,14
2018-01-01,A0118150101,70002018,17
2018-01-01,A0118150101,70003181,16
2018-01-01,A0118150101,70003182,8
2018-01-01,A0118150101,70006157,2
2018-01-01,A0118150101,70006158,8
2018-01-01,A0118150101,70007198,11
2018-01-01,A0118150101,70007199,7
2018-01-01,A0118150101,70008169,8
2018-01-01,A0118150101,70008170,19
2018-01-01,A0118150101,70011193,11
2018-01-01,A0118150101,70011194,4
2018-01-01,A0118150101,70013125,2
2018-01-01,A0118150101,70013126,2
2018-01-01,A0118150101,70016177,1
2018-01-01,A0118150101,70016178,1
2018-01-01,A0118150101,70022085,7
2018-01-01,A0118150101,70023031,4
2018-01-01,A0118150101,80001019,4
2018-01-01,A0118150101,80006154,7
2018-01-01,A0118150101,80006155,30
2018-01-01,A0118150101,80007195,85
2018-01-01,A0118150101,90001021,3
2018-01-01,A0118150101,90002001,37
2018-01-01,A0118150101,90002002,31
2018-01-01,A0118150101,90002003,46
2018-01-01,A0118150101,90002005,37
2018-01-01,A0118150101,90002006,67
2018-01-01,A0118150101,90002007,16
2018-01-01,A0118150101,90002009,69
2018-01-01,A0118150101,90002010,45
2018-01-01,A0118150101,90002011,56
2018-01-01,A0118150101,90002013,12
2018-01-01,A0118150101,90002014,16
2018-01-01,A0118150101,90002015,49
2018-01-01,A0118150101,90003179,13
2018-01-01,A0118150101,90006153,10
2018-01-01,A0118150101,90007197,30
2018-01-01,A0118150101,90008165,13
2018-01-01,A0118150101,90008166,15
2018-01-01,A0118150101,90008167,11
2018-01-01,A0118150101,90011185,14
2018-01-01,A0118150101,90011186,9
2018-01-01,A0118150101,90011187,4
2018-01-01,A0118150101,90011189,7
2018-01-01,A0118150101,90011190,13
2018-01-01,A0118150101,90011191,12
2018-01-01,A0118150101,90013117,3
2018-01-01,A0118150101,90013118,1
2018-01-01,A0118150101,90013119,1
2018-01-01,A0118150101,90013121,1
2018-01-01,A0118150101,90013122,3
2018-01-01,A0118150101,90013123,2
2018-01-01,A0118150101,90016171,1
2018-01-01,A0118150101,90016175,1
2018-01-01,A0118150101,90022071,6
2018-01-01,A0118150101,90022073,32
2018-01-01,A0118150101,90022074,19
2018-01-01,A0118150101,90022075,32
2018-01-01,A0118150101,90022077,35
2018-01-01,A0118150101,90022078,14
2018-01-01,A0118150101,90022079,31
2018-01-01,A0118150101,90022081,58
2018-01-01,A0118150101,90022082,16
2018-01-01,A0118150101,90022083,20
2018-01-01,A0118150101,90023022,2
2018-01-01,A0118150101,90023023,3
2018-01-01,A0118150101,90023025,5
2018-01-01,A0118150101,90023026,4
2018-01-01,A0118150101,90023027,2
2018-01-01,A0118150101,90023029,1
2018-01-01,A0118150101,90023030,5
2018-01-01,A0118150101,90027207,6
2018-02-01,A0118150101,70002017,62
2018-02-01,A0118150101,70002018,73
2018-02-01,A0118150101,70003181,12
2018-02-01,A0118150101,70003182,9
2018-02-01,A0118150101,70006157,9
2018-02-01,A0118150101,70006158,1
2018-02-01,A0118150101,70007198,26
2018-02-01,A0118150101,70008169,13
2018-02-01,A0118150101,70008170,9
2018-02-01,A0118150101,70011193,1
2018-02-01,A0118150101,70011194,5
2018-02-01,A0118150101,70013125,2
2018-02-01,A0118150101,70013126,1
2018-02-01,A0118150101,70016178,1
2018-02-01,A0118150101,70022084,32
2018-02-01,A0118150101,70022085,16
2018-02-01,A0118150101,70023032,1
2018-02-01,A0118150101,70027208,10
2018-02-01,A0118150101,80006154,22
2018-02-01,A0118150101,80007196,22
2018-02-01,A0118150101,90001020,2
2018-02-01,A0118150101,90001021,2
2018-02-01,A0118150101,90002001,34
2018-02-01,A0118150101,90002002,16
2018-02-01,A0118150101,90002004,28
2018-02-01,A0118150101,90002005,69
2018-02-01,A0118150101,90002006,77
2018-02-01,A0118150101,90002008,91
2018-02-01,A0118150101,90002009,52
2018-02-01,A0118150101,90002010,28
2018-02-01,A0118150101,90002012,70
2018-02-01,A0118150101,90002013,13
2018-02-01,A0118150101,90002014,16
2018-02-01,A0118150101,90002016,62
2018-02-01,A0118150101,90003180,12
2018-02-01,A0118150101,90006153,10
2018-02-01,A0118150101,90006156,3
2018-02-01,A0118150101,90007197,48
2018-02-01,A0118150101,90008164,4
2018-02-01,A0118150101,90008165,17
2018-02-01,A0118150101,90008166,9
2018-02-01,A0118150101,90008168,3
2018-02-01,A0118150101,90011185,12
2018-02-01,A0118150101,90011186,2
2018-02-01,A0118150101,90011188,2
2018-02-01,A0118150101,90011189,4
2018-02-01,A0118150101,90011190,14
2018-02-01,A0118150101,90011192,3
2018-02-01,A0118150101,90013116,1
2018-02-01,A0118150101,90013117,2
2018-02-01,A0118150101,90013118,3
2018-02-01,A0118150101,90013120,2
2018-02-01,A0118150101,90013121,1
2018-02-01,A0118150101,90013122,1
2018-02-01,A0118150101,90016172,1
2018-02-01,A0118150101,90016173,1
2018-02-01,A0118150101,90016174,1
2018-02-01,A0118150101,90022072,32
2018-02-01,A0118150101,90022073,25
2018-02-01,A0118150101,90022074,36
2018-02-01,A0118150101,90022076,37
2018-02-01,A0118150101,90022077,25
2018-02-01,A0118150101,90022078,12
2018-02-01,A0118150101,90022080,36
2018-02-01,A0118150101,90022081,53
2018-02-01,A0118150101,90022082,34
2018-02-01,A0118150101,90023022,3
2018-02-01,A0118150101,90023024,5
2018-02-01,A0118150101,90023025,4
2018-02-01,A0118150101,90023026,2
2018-02-01,A0118150101,90023028,1
2018-02-01,A0118150101,90023029,4
2018-02-01,A0118150101,90023030,1
2018-03-01,A0118150101,70002017,60
2018-03-01,A0118150101,70003181,22
2018-03-01,A0118150101,70006157,2
2018-03-01,A0118150101,70007199,44
2018-03-01,A0118150101,70008169,4
2018-03-01,A0118150101,70011193,6
2018-03-01,A0118150101,70013125,3
2018-03-01,A0118150101,70016177,1
2018-03-01,A0118150101,70022084,35
2018-03-01,A0118150101,70022085,12
2018-03-01,A0118150101,70023031,2
2018-03-01,A0118150101,70023032,1
2018-03-01,A0118150101,70027208,11
2018-03-01,A0118150101,80001019,4
2018-03-01,A0118150101,80006155,41
2018-03-01,A0118150101,80007195,169
2018-03-01,A0118150101,80007196,140
2018-03-01,A0118150101,90001020,3
2018-03-01,A0118150101,90001021,2
2018-03-01,A0118150101,90002001,34
2018-03-01,A0118150101,90002003,36
2018-03-01,A0118150101,90002004,66
2018-03-01,A0118150101,90002005,19
2018-03-01,A0118150101,90002007,43
2018-03-01,A0118150101,90002008,122
2018-03-01,A0118150101,90002009,20
2018-03-01,A0118150101,90002011,46
2018-03-01,A0118150101,90002012,56
2018-03-01,A0118150101,90002013,35
2018-03-01,A0118150101,90002015,24
2018-03-01,A0118150101,90002016,72
2018-03-01,A0118150101,90003179,14
2018-03-01,A0118150101,90003180,19
2018-03-01,A0118150101,90006153,4
2018-03-01,A0118150101,90006156,3
2018-03-01,A0118150101,90007197,15
2018-03-01,A0118150101,90008164,9
2018-03-01,A0118150101,90008165,12
2018-03-01,A0118150101,90008167,13
2018-03-01,A0118150101,90008168,19
2018-03-01,A0118150101,90011185,7
2018-03-01,A0118150101,90011187,5
2018-03-01,A0118150101,90011188,8
2018-03-01,A0118150101,90011189,6
2018-03-01,A0118150101,90011191,12
2018-03-01,A0118150101,90011192,6
2018-03-01,A0118150101,90013116,1
2018-03-01,A0118150101,90013117,1
